drugname,pt,A,drug_reports,reaction_reports,B,C,D,A_adj,B_adj,C_adj,D_adj,PRR,ROR,ChiSquare,ROR_Lower95,ROR_Upper95,Signal
BISEPTOL,PYRAMIDAL TRACT SYNDROME,5,10,6,5,1,385267,5,5.0,1.0,385267,192634.0,385267.0,160529.16661908137,37895.45468087957,3916846.031772028,🔴 Strong
BENICAR,NEONATAL ANURIA,3,12,3,9,0,385266,3,9.0,0.5,385266,192633.25,256844.0,96317.24998248005,11989.872158804936,5502047.016202319,🔴 Strong
ASCORBIC ACID\FERROUS SULFATE,THYMUS DISORDER,8,16,9,8,1,385261,8,8.0,1.0,385261,192631.0,385261.0,171229.77766818643,43059.037258667646,3447035.6879872545,🔴 Strong
CEFACLOR,POLYGLANDULAR DISORDER,5,20,5,15,0,385258,5,15.0,0.5,385258,192629.25,256838.66666666663,96315.7499513332,13431.163529865464,4911421.154870857,🔴 Strong
CHLORMADINONE ACETATE,MENINGIOMA SURGERY,6,24,6,18,0,385254,6,18.0,0.5,385254,192627.25,256836.0,96314.99992991964,13827.23989339201,4770636.179352343,🔴 Strong
CHARCOAL ACTIVATED,AMYLOID ARTHROPATHY,15,15,17,0,2,385261,15,0.5,2.0,385261,186417.5806451613,5778915.0,-147430.01456432886,250107.0338525515,133526266.98581062,🟢 Weak
THIOGUANINE ANHYDROUS,PERINEAL NECROSIS,6,25,6,19,0,385253,6,19.0,0.5,385253,184921.68,243317.68421052632,92462.15992898525,13124.66914819947,4510856.219007647,🔴 Strong
ATARAX,SCAPHOCEPHALY,5,21,5,16,0,385257,5,16.0,0.5,385257,183455.9523809524,240785.625,91729.04756960834,12625.896318808189,4591968.422889236,🔴 Strong
MIZORIBINE,DOUGLAS' ABSCESS,3,13,3,10,0,385265,3,10.0,0.5,385265,177814.84615384616,231159.0,88907.99998203081,10866.358938068955,4917422.991964572,🔴 Strong
PIZOTYLINE MALEATE,NEOVASCULARISATION,5,5,7,0,2,385271,5,0.5,2.0,385271,175124.0909090909,1926355.0,275197.1428386031,76920.67600145789,48242472.36145796,🔴 Strong
PROVAS,LORDOSIS,5,5,7,0,2,385271,5,0.5,2.0,385271,175124.0909090909,1926355.0,275197.1428386031,76920.67600145789,48242472.36145796,🔴 Strong
PIRTOBRUTINIB,KARYOTYPE ANALYSIS ABNORMAL,4,18,4,14,0,385260,4,14.0,0.5,385260,171226.8888888889,220148.57142857145,85614.22218992197,11111.70339176247,4361652.9161469545,🔴 Strong
LACTOBACILLUS RHAMNOSUS,AMYLOID ARTHROPATHY,15,17,17,2,2,385259,15,2.0,2.0,385259,169968.08823529413,1444721.25,-130089.51183566658,190831.3238723257,10937509.879656851,🟢 Weak
DUTASTERIDE\TAMSULOSIN HYDROCHLORIDE,BINOCULAR EYE MOVEMENT DISORDER,7,16,8,9,1,385261,7,9.0,1.0,385261,168552.125,299647.44444444444,147484.42178026144,33374.16631597599,2690362.063639183,🔴 Strong
CRATAEGUS EXTRACT,EOSINOPHILIC CELLULITIS,3,3,5,0,2,385273,3,0.5,2.0,385273,165117.85714285713,1155819.0,231165.599990656,42665.530168761055,31311401.86180402,🔴 Strong
GESTODENE,DYSDIADOCHOKINESIS,3,3,5,0,2,385273,3,0.5,2.0,385273,165117.85714285713,1155819.0,231165.599990656,42665.530168761055,31311401.86180402,🔴 Strong
GESTODENE,EAR CANAL INJURY,3,3,5,0,2,385273,3,0.5,2.0,385273,165117.85714285713,1155819.0,231165.599990656,42665.530168761055,31311401.86180402,🔴 Strong
NOSCAPINE,CENTRAL NERVOUS SYSTEM NECROSIS,6,7,8,1,2,385269,6,1.0,2.0,385269,165116.14285714284,1155807.0,247676.35710299655,92038.1339322118,14514525.275283284,🔴 Strong
PREZCOBIX,CORONARY OSTIAL STENOSIS,3,14,3,11,0,385264,3,11.0,0.5,385264,165113.35714285713,210144.0,82557.21426736005,9935.11563577262,4444890.46277374,🔴 Strong
PLAN B ONE-STEP,PREGNANCY AFTER POST COITAL CONTRACEPTION,14,66,14,52,0,385212,14,52.0,0.5,385212,163423.48484848483,207421.84615384616,-52806.21689362541,12191.839270976852,3528903.334896296,🟢 Weak
AFATINIB,MALIGNANT GLIOMA,4,19,4,15,0,385259,4,15.0,0.5,385259,162214.52631578947,205471.46666666667,81107.99996721404,10402.726027787778,4058409.641989696,🔴 Strong
MESTINON,OSMOPHOBIA,4,19,4,15,0,385259,4,15.0,0.5,385259,162214.52631578947,205471.46666666667,81107.99996721404,10402.726027787778,4058409.641989696,🔴 Strong
PENICILLIN V,ADENOVIRUS REACTIVATION,4,19,4,15,0,385259,4,15.0,0.5,385259,162214.52631578947,205471.46666666667,81107.99996721404,10402.726027787778,4058409.641989696,🔴 Strong
TIANEPTINE,CRUSH SYNDROME,7,17,8,10,1,385260,7,10.0,1.0,385260,158636.88235294115,269682.0,138808.40431360994,30330.825775396515,2397837.1595472754,🔴 Strong
UNITUXIN,NEUROBLASTOMA RECURRENT,6,15,7,9,1,385262,6,9.0,1.0,385262,154105.2,256841.3333333333,132090.85706743735,28019.34420444184,2354354.5497394926,🔴 Strong
NIMESULIDE,AMNIOTIC CAVITY DISORDER,8,41,8,33,0,385237,8,33.0,0.5,385237,150336.58536585365,186781.57575757572,75169.75596385683,10511.52095755044,3318963.752569351,🔴 Strong
SODIUM BICARBONATE\SODIUM CHLORIDE,CENTRAL NERVOUS SYSTEM MASS,13,34,14,21,1,385243,13,21.0,1.0,385243,147299.17647058822,238483.7619047619,-124326.0452427295,29839.34983147017,1906023.5901073257,🟢 Weak
SODIUM BICARBONATE\SODIUM CHLORIDE,WALL MOTION SCORE INDEX ABNORMAL,13,34,14,21,1,385243,13,21.0,1.0,385243,147299.17647058822,238483.7619047619,-124326.0452427295,29839.34983147017,1906023.5901073257,🟢 Weak
MIDOSTAURIN,ADVANCED SYSTEMIC MASTOCYTOSIS,3,16,3,13,0,385262,3,13.0,0.5,385262,144473.4375,177813.23076923078,72237.18748102005,8481.03076130336,3728030.9347366095,🔴 Strong
NOMEGESTROL ACETATE,AVOIDANT PERSONALITY DISORDER,3,16,3,13,0,385262,3,13.0,0.5,385262,144473.4375,177813.23076923078,72237.18748102005,8481.03076130336,3728030.9347366095,🔴 Strong
PEGINTERFERON ALFA-2A,CUTANEOUS T-CELL LYMPHOMA STAGE I,4,11,5,7,1,385266,4,7.0,1.0,385266,140097.0909090909,220152.0,112077.527235021,21783.14338986577,2224972.871754969,🔴 Strong
AMINOPHYLLINE,AMYLOID ARTHROPATHY,17,95,17,78,0,385183,17,78.0,0.5,385183,137855.14736842105,167900.28205128206,-8040.103530486496,9997.148759278583,2819854.479682097,🟢 Weak
TENORMIN,OSTEOARTHROPATHY,5,7,7,2,2,385269,5,2.0,2.0,385269,137596.7857142857,481586.25,196567.55097887915,56261.50736021385,4122273.416959168,🔴 Strong
DACTINOMYCIN,TONGUE NECROSIS,5,28,5,23,0,385250,5,23.0,0.5,385250,137589.4642857143,167500.0,68795.535660984,8892.832494374485,3154928.423283365,🔴 Strong
TINZAPARIN,BRACHYDACTYLY,9,26,10,17,1,385251,9,17.0,1.0,385251,133356.46153846153,203956.41176470587,120022.13059987858,24481.041914475045,1699201.2858463416,🔴 Strong
TINZAPARIN,SKELETAL DYSPLASIA,9,26,10,17,1,385251,9,17.0,1.0,385251,133356.46153846153,203956.41176470587,120022.13059987858,24481.041914475045,1699201.2858463416,🔴 Strong
AMSACRINE,ELECTROCARDIOGRAM T WAVE AMPLITUDE DECREASED,3,9,4,6,1,385268,3,6.0,1.0,385268,128423.0,192634.0,96316.74997728904,17466.591349886574,2124504.845431156,🔴 Strong
ALPELISIB,ACTIVATED PI3 KINASE DELTA SYNDROME,8,49,8,41,0,385229,8,41.0,0.5,385229,125789.22448979592,150333.26829268291,62895.8365956978,8493.798411525817,2660775.598923113,🔴 Strong
MAGNESIUM OROTATE,FRACTIONAL EXHALED NITRIC OXIDE INCREASED,13,13,16,0,3,385262,13,0.5,3.0,385262,123665.30864197532,3338937.333333333,-284467.8411034944,159254.91096225174,70004136.44116539,🟢 Weak
APOMORPHINE HYDROCHLORIDE,BINOCULAR EYE MOVEMENT DISORDER,7,22,8,15,1,385255,7,15.0,1.0,385255,122581.45454545452,179785.66666666666,107259.24988986512,20825.691064139533,1552067.8684433014,🔴 Strong
NANDROLONE,ANDROPAUSE,7,22,8,15,1,385255,7,15.0,1.0,385255,122581.45454545452,179785.66666666666,107259.24988986512,20825.691064139533,1552067.8684433014,🔴 Strong
DESYREL,NEOVASCULARISATION,5,8,7,3,2,385268,5,3.0,2.0,385268,120396.875,321056.6666666667,171995.80352327164,43781.71426996709,2354347.812319884,🔴 Strong
DAFALGAN,COAGULATION FACTOR X LEVEL ABNORMAL,4,26,4,22,0,385252,4,22.0,0.5,385252,118539.23076923078,140091.63636363635,59270.15381101402,7190.398495860465,2729426.830841142,🔴 Strong
DEXTROAMPHETAMINE,SYDENHAM'S CHOREA,4,26,4,22,0,385252,4,22.0,0.5,385252,118539.23076923078,140091.63636363635,59270.15381101402,7190.398495860465,2729426.830841142,🔴 Strong
AMANTADINE HYDROCHLORIDE,BINOCULAR EYE MOVEMENT DISORDER,7,23,8,16,1,385254,7,16.0,1.0,385254,117251.52173913045,168548.625,102595.46184470056,19596.721973641237,1449662.807259397,🔴 Strong
MIDOMAFETAMINE,PAROXYSMAL PERCEPTUAL ALTERATION,18,119,18,101,0,385159,18,101.0,0.5,385159,116518.84033613444,137284.39603960395,224.88876791493047,8208.747978457184,2295965.894606632,🔴 Strong
ETHINYL ESTRADIOL,DYSDIADOCHOKINESIS,3,5,5,2,2,385271,3,2.0,2.0,385271,115581.9,288953.25,138697.67997923563,30055.619612156137,2777982.3461630736,🔴 Strong
ETHINYL ESTRADIOL,EAR CANAL INJURY,3,5,5,2,2,385271,3,2.0,2.0,385271,115581.9,288953.25,138697.67997923563,30055.619612156137,2777982.3461630736,🔴 Strong
